Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Founded,Company Industry,Company Revenue,Country,State
Water Resources Engineer,Adelaide,Water Technology,68453,60000,78000,1 to 50 Employees,Company - Private,"Arts, Entertainment & Recreation",,Culture & Entertainment,Unknown / Non-Applicable,Australia,South Australia
AI4Missions PhD Scholarship: Environmental risk factors for antimicrobial resistance,Adelaide,CSIRO,40500,41000,41000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),Australia,South Australia
Associate Research Assistant,Adelaide,University of South Australia,93165,93000,93000,1001 to 5000 Employees,Contract,Education,,Colleges & Universities,$500 million to $1 billion (USD),Australia,South Australia
Technical Manager,Adelaide,National Agri-Solutions,153000,138000,170000,Unknown,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Project Coordinator,Australia,Primary Industries and Regions SA (PIRSA),90233,86000,95000,501 to 1000 Employees,Company - Public,,,,Unknown / Non-Applicable,Australia,South Australia
Project Coordinator,Australia,SA Government -DEPARTMENT OF PRIMARY INDUSTRIES AND REGIONS,90233,86000,95000,,,,,,,Australia,South Australia
Junior Technology Specialist,Adelaide,Empire Careers,71689,62000,83000,Unknown,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Product Manager,Adelaide,Topcon Positioning Systems,103657,85000,126000,1001 to 5000 Employees,Company - Private,Manufacturing,1994.0,Electronics Manufacturing,$500 million to $1 billion (USD),Australia,South Australia
Senior Lead Researcher,Adelaide,Australian Government Department of Defence,115120,108000,122000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,$10+ billion (USD),Australia,South Australia
Devops Engineer,Adelaide,MaxMine,95692,81000,114000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Physics Teacher,Adelaide,Department for Education and Child Development (DECD),91605,75000,108000,5001 to 10000 Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,South Australia
Systems Engineer,Adelaide,Ultra Electronics,97161,76000,125000,1001 to 5000 Employees,Company - Public,Aerospace & Defence,1920.0,Aerospace & Defence,$500 million to $1 billion (USD),Australia,South Australia
Lead Bioinformatics Scientist,Adelaide,Rimfire Resources,76485,65000,90000,Unknown,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Technical Product Manager,Adelaide,Wabtec,158745,144000,175000,10000+ Employees,Company - Public,Manufacturing,1869.0,Transportation Equipment Manufacturing,$5 to $10 billion (USD),Australia,South Australia
Information Security Engineer,Adelaide,Journey Beyond,109435,77000,156000,Unknown,Company - Public,,,,Unknown / Non-Applicable,Australia,South Australia
Associate Functional Consultant,Adelaide,PwC,112598,112000,113000,1001 to 5000 Employees,Company - Private,Finance,1998.0,Accounting & Tax,$100 to $500 million (USD),Australia,South Australia
Enterprise Architect,Adelaide,Canonical - Jobs,162988,161000,165000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Information Security Specialist,Nook,TaskUS,98513,70000,139000,10000+ Employees,Company - Public,Information Technology,2008.0,Information Technology Support Services,$500 million to $1 billion (USD),Australia,Tasmania
Senior Network Engineer,Kingston,Ontrack Systems,90139,65000,125000,Unknown,Company - Private,,,,Unknown / Non-Applicable,Australia,Tasmania
